ProductID,SKU,ProductName,Category,Subcategory,Brand,UnitCost,ListPrice,LaunchYear,ActiveFlag
P2001,RM-2001,Televisores 01,Electrónicos,Televisores,FunBox,59.67,95.82,2022,1
P2002,RM-2002,Televisores 02,Electrónicos,Televisores,FunBox,134.76,290.16,2024,0
P2003,RM-2003,Televisores 03,Electrónicos,Televisores,OfficePro,261.5,508.72,2024,1
P2004,RM-2004,Televisores 04,Electrónicos,Televisores,NovaTech,298.92,543.65,2021,1
P2005,RM-2005,Televisores 05,Electrónicos,Televisores,CasaPlus,390.45,545.93,2022,1
P2006,RM-2006,Televisores 06,Electrónicos,Televisores,ActiveGo,287.52,402.01,2021,1
P2007,RM-2007,Televisores 07,Electrónicos,Televisores,OfficePro,162.45,212.03,2024,1
P2008,RM-2008,Televisores 08,Electrónicos,Televisores,Genérica,421.75,874.23,2024,1
P2009,RM-2009,Audio 01,Electrónicos,Audio,FunBox,287.2,523.01,2023,1
P2010,RM-2010,Audio 02,Electrónicos,Audio,CasaPlus,210.17,404.09,2021,0
P2011,RM-2011,Audio 03,Electrónicos,Audio,CasaPlus,309.34,392.72,2019,1
P2012,RM-2012,Audio 04,Electrónicos,Audio,NovaTech,363.05,788.33,2022,1
P2013,RM-2013,Audio 05,Electrónicos,Audio,NovaTech,98.1,200.2,2023,1
P2014,RM-2014,Audio 06,Electrónicos,Audio,CasaPlus,296.33,430.19,2022,1
P2015,RM-2015,Audio 07,Electrónicos,Audio,CasaPlus,122.14,173.77,2020,0
P2016,RM-2016,Audio 08,Electrónicos,Audio,FunBox,121.18,172.59,2023,1
P2017,RM-2017,Computación 01,Electrónicos,Computación,FunBox,182.13,280.3,2020,1
P2018,RM-2018,Computación 02,Electrónicos,Computación,FunBox,224.11,391.86,2019,1
P2019,RM-2019,Computación 03,Electrónicos,Computación,CasaPlus,283.84,471.27,2024,1
P2020,RM-2020,Computación 04,Electrónicos,Computación,FunBox,32.33,49.36,2022,0
P2021,RM-2021,Computación 05,Electrónicos,Computación,ActiveGo,239.98,439.47,2023,1
P2022,RM-2022,Computación 06,Electrónicos,Computación,Genérica,325.44,449.93,2024,0
P2023,RM-2023,Computación 07,Electrónicos,Computación,OfficePro,346.8,529.75,2021,1
P2024,RM-2024,Computación 08,Electrónicos,Computación,OfficePro,197.91,316.27,2022,1
P2025,RM-2025,Accesorios 01,Electrónicos,Accesorios,Genérica,394.63,664.27,2021,0
P2026,RM-2026,Accesorios 02,Electrónicos,Accesorios,CasaPlus,230.43,459.92,2019,1
P2027,RM-2027,Accesorios 03,Electrónicos,Accesorios,Genérica,230.42,331.73,2020,1
P2028,RM-2028,Accesorios 04,Electrónicos,Accesorios,OfficePro,344.08,598.19,2023,0
P2029,RM-2029,Accesorios 05,Electrónicos,Accesorios,NovaTech,271.13,491.5,2022,1
P2030,RM-2030,Accesorios 06,Electrónicos,Accesorios,NovaTech,418.38,541.44,2021,1
P2031,RM-2031,Accesorios 07,Electrónicos,Accesorios,NovaTech,111.43,203.6,2023,1
P2032,RM-2032,Accesorios 08,Electrónicos,Accesorios,NovaTech,330.43,466.57,2019,0
P2033,RM-2033,Cocina 01,Hogar,Cocina,CasaPlus,61.26,80.36,2022,0
P2034,RM-2034,Cocina 02,Hogar,Cocina,CasaPlus,122.22,262.95,2023,1
P2035,RM-2035,Cocina 03,Hogar,Cocina,CasaPlus,418.3,906.6,2024,1
P2036,RM-2036,Cocina 04,Hogar,Cocina,Genérica,143.03,288.63,2024,1
P2037,RM-2037,Cocina 05,Hogar,Cocina,ActiveGo,405.23,623.8,2022,1
P2038,RM-2038,Cocina 06,Hogar,Cocina,CasaPlus,104.22,139.95,2021,1
P2039,RM-2039,Cocina 07,Hogar,Cocina,FunBox,251.05,477.0,2023,1
P2040,RM-2040,Cocina 08,Hogar,Cocina,NovaTech,35.66,59.49,2024,1
P2041,RM-2041,Limpieza 01,Hogar,Limpieza,CasaPlus,34.06,46.52,2019,1
P2042,RM-2042,Limpieza 02,Hogar,Limpieza,NovaTech,233.31,401.39,2021,1
P2043,RM-2043,Limpieza 03,Hogar,Limpieza,CasaPlus,244.5,313.61,2024,0
P2044,RM-2044,Limpieza 04,Hogar,Limpieza,FunBox,214.81,454.08,2022,1
P2045,RM-2045,Limpieza 05,Hogar,Limpieza,CasaPlus,46.07,68.91,2024,1
P2046,RM-2046,Limpieza 06,Hogar,Limpieza,OfficePro,192.92,362.57,2022,1
P2047,RM-2047,Limpieza 07,Hogar,Limpieza,Genérica,295.44,456.79,2024,1
P2048,RM-2048,Limpieza 08,Hogar,Limpieza,NovaTech,183.57,320.16,2021,1
P2049,RM-2049,Muebles 01,Hogar,Muebles,CasaPlus,89.45,158.27,2023,1
P2050,RM-2050,Muebles 02,Hogar,Muebles,CasaPlus,192.16,273.95,2021,1
P2051,RM-2051,Muebles 03,Hogar,Muebles,CasaPlus,394.02,855.46,2019,1
P2052,RM-2052,Muebles 04,Hogar,Muebles,FunBox,47.67,94.69,2024,0
P2053,RM-2053,Muebles 05,Hogar,Muebles,NovaTech,436.17,934.5,2020,1
P2054,RM-2054,Muebles 06,Hogar,Muebles,ActiveGo,220.6,463.28,2020,1
P2055,RM-2055,Muebles 07,Hogar,Muebles,NovaTech,77.43,140.77,2019,1
P2056,RM-2056,Muebles 08,Hogar,Muebles,OfficePro,417.23,886.94,2022,1
P2057,RM-2057,Decoración 01,Hogar,Decoración,ActiveGo,314.68,419.8,2024,0
P2058,RM-2058,Decoración 02,Hogar,Decoración,Genérica,324.41,465.91,2020,1
P2059,RM-2059,Decoración 03,Hogar,Decoración,OfficePro,101.09,130.71,2019,0
P2060,RM-2060,Decoración 04,Hogar,Decoración,Genérica,245.82,383.25,2024,1
P2061,RM-2061,Decoración 05,Hogar,Decoración,NovaTech,26.36,42.68,2022,0
P2062,RM-2062,Decoración 06,Hogar,Decoración,FunBox,74.21,111.89,2023,1
P2063,RM-2063,Decoración 07,Hogar,Decoración,CasaPlus,34.56,70.41,2019,1
P2064,RM-2064,Decoración 08,Hogar,Decoración,ActiveGo,57.47,91.31,2023,1
P2065,RM-2065,Papelería 01,Oficina,Papelería,FunBox,269.16,408.29,2023,1
P2066,RM-2066,Papelería 02,Oficina,Papelería,ActiveGo,297.19,524.71,2023,0
P2067,RM-2067,Papelería 03,Oficina,Papelería,OfficePro,420.88,582.45,2020,1
P2068,RM-2068,Papelería 04,Oficina,Papelería,CasaPlus,122.46,246.4,2020,1
P2069,RM-2069,Papelería 05,Oficina,Papelería,ActiveGo,145.02,191.55,2019,1
P2070,RM-2070,Papelería 06,Oficina,Papelería,ActiveGo,281.04,614.79,2023,1
P2071,RM-2071,Papelería 07,Oficina,Papelería,NovaTech,243.78,483.57,2023,1
P2072,RM-2072,Papelería 08,Oficina,Papelería,CasaPlus,420.23,604.62,2019,1
P2073,RM-2073,Mobiliario 01,Oficina,Mobiliario,OfficePro,131.1,164.56,2022,0
P2074,RM-2074,Mobiliario 02,Oficina,Mobiliario,Genérica,138.92,281.27,2024,0
P2075,RM-2075,Mobiliario 03,Oficina,Mobiliario,NovaTech,301.87,580.05,2023,1
P2076,RM-2076,Mobiliario 04,Oficina,Mobiliario,Genérica,50.2,97.52,2020,1
P2077,RM-2077,Mobiliario 05,Oficina,Mobiliario,NovaTech,400.81,794.69,2024,0
P2078,RM-2078,Mobiliario 06,Oficina,Mobiliario,CasaPlus,125.47,165.66,2023,1
P2079,RM-2079,Mobiliario 07,Oficina,Mobiliario,Genérica,156.92,249.59,2024,1
P2080,RM-2080,Mobiliario 08,Oficina,Mobiliario,FunBox,221.89,301.79,2019,1
P2081,RM-2081,Impresión 01,Oficina,Impresión,Genérica,192.91,399.31,2021,1
P2082,RM-2082,Impresión 02,Oficina,Impresión,NovaTech,152.77,281.42,2020,1
P2083,RM-2083,Impresión 03,Oficina,Impresión,CasaPlus,334.59,523.42,2023,1
P2084,RM-2084,Impresión 04,Oficina,Impresión,FunBox,8.31,10.89,2019,1
P2085,RM-2085,Impresión 05,Oficina,Impresión,FunBox,20.07,31.02,2021,0
P2086,RM-2086,Impresión 06,Oficina,Impresión,FunBox,70.05,109.2,2020,1
P2087,RM-2087,Impresión 07,Oficina,Impresión,OfficePro,166.63,323.78,2019,1
P2088,RM-2088,Impresión 08,Oficina,Impresión,CasaPlus,308.2,571.92,2024,1
P2089,RM-2089,Organización 01,Oficina,Organización,OfficePro,351.93,736.54,2022,0
P2090,RM-2090,Organización 02,Oficina,Organización,Genérica,72.93,123.88,2020,1
P2091,RM-2091,Organización 03,Oficina,Organización,CasaPlus,397.11,541.5,2019,1
P2092,RM-2092,Organización 04,Oficina,Organización,Genérica,416.32,802.49,2022,1
P2093,RM-2093,Organización 05,Oficina,Organización,OfficePro,75.0,147.96,2024,1
P2094,RM-2094,Organización 06,Oficina,Organización,ActiveGo,392.99,700.79,2022,1
P2095,RM-2095,Organización 07,Oficina,Organización,CasaPlus,368.2,729.93,2022,1
P2096,RM-2096,Organización 08,Oficina,Organización,OfficePro,369.96,636.0,2020,1
P2097,RM-2097,Fitness 01,Deportes,Fitness,NovaTech,298.37,521.13,2022,1
P2098,RM-2098,Fitness 02,Deportes,Fitness,OfficePro,389.5,645.08,2021,1
P2099,RM-2099,Fitness 03,Deportes,Fitness,Genérica,231.19,294.57,2024,0
P2100,RM-2100,Fitness 04,Deportes,Fitness,OfficePro,422.9,571.97,2019,1
P2101,RM-2101,Fitness 05,Deportes,Fitness,CasaPlus,262.94,336.53,2021,1
P2102,RM-2102,Fitness 06,Deportes,Fitness,NovaTech,270.07,500.87,2021,1
P2103,RM-2103,Fitness 07,Deportes,Fitness,ActiveGo,274.37,424.9,2023,1
P2104,RM-2104,Fitness 08,Deportes,Fitness,ActiveGo,405.18,702.23,2020,1
P2105,RM-2105,Outdoor 01,Deportes,Outdoor,NovaTech,320.12,676.15,2019,0
P2106,RM-2106,Outdoor 02,Deportes,Outdoor,FunBox,310.34,461.42,2024,1
P2107,RM-2107,Outdoor 03,Deportes,Outdoor,OfficePro,196.36,322.0,2024,1
P2108,RM-2108,Outdoor 04,Deportes,Outdoor,FunBox,144.01,283.38,2019,1
P2109,RM-2109,Outdoor 05,Deportes,Outdoor,FunBox,141.94,208.28,2022,1
P2110,RM-2110,Outdoor 06,Deportes,Outdoor,ActiveGo,314.95,416.72,2023,1
P2111,RM-2111,Outdoor 07,Deportes,Outdoor,CasaPlus,191.52,292.12,2022,1
P2112,RM-2112,Outdoor 08,Deportes,Outdoor,FunBox,257.82,361.76,2022,0
P2113,RM-2113,Fútbol 01,Deportes,Fútbol,NovaTech,139.53,297.65,2020,1
P2114,RM-2114,Fútbol 02,Deportes,Fútbol,FunBox,274.57,554.0,2021,1
P2115,RM-2115,Fútbol 03,Deportes,Fútbol,ActiveGo,201.2,372.57,2020,0
